------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=120 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=119.999 sec; Warm up time=400 msec; SentMessages=12001; ReceivedMessages=12000
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=119.540 sec; SentMessages=11955; ReceivedMessages=11955
sockperf: [2;35m====> avg-rtt=66.328 (std-dev=100.572, mean-ad=21.204, median-ad=16.105, siqr=11.703, cv=1.516, std-error=0.920, 99.0% ci=[63.959, 68.697])[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11955 observations[0m; each percentile contains 119.55 observations
sockperf: ---> <MAX> observation = 4016.060
sockperf: ---> percentile 99.999 = 4016.060
sockperf: ---> percentile 99.990 = 3518.218
sockperf: ---> percentile 99.900 = 1885.813
sockperf: ---> percentile 99.000 =  223.075
sockperf: ---> percentile 90.000 =   85.152
sockperf: ---> percentile 75.000 =   70.596
sockperf: ---> percentile 50.000 =   56.554
sockperf: ---> percentile 25.000 =   47.190
sockperf: ---> <MIN> observation =   21.605
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
272, 10.137140463, 10.137186844, 46.381
273, 10.147140465, 10.147192191, 51.726
274, 10.157140466, 10.157201055, 60.589
275, 10.167140592, 10.167246214, 105.622
276, 10.177140464, 10.177210968, 70.504
277, 10.187140790, 10.187225751, 84.961
278, 10.197140819, 10.197234943, 94.124
279, 10.207142582, 10.207227598, 85.016
280, 10.217140732, 10.217225797, 85.065
281, 10.227140568, 10.227204948, 64.380
282, 10.237140560, 10.237246633, 106.073
283, 10.247140473, 10.247215255, 74.782
284, 10.257140636, 10.257229211, 88.575
285, 10.267140491, 10.267213109, 72.618
286, 10.277140751, 10.277217956, 77.205
287, 10.287140752, 10.287214173, 73.421
288, 10.297140478, 10.297202145, 61.667
289, 10.307140479, 10.307183972, 43.493
290, 10.317140467, 10.317181367, 40.900
291, 10.327140472, 10.327178761, 38.289
292, 10.337140470, 10.337191040, 50.570
293, 10.347140464, 10.347177151, 36.687
294, 10.357140554, 10.357186575, 46.021
295, 10.367140559, 10.367203376, 62.817
296, 10.377140471, 10.377180494, 40.023
297, 10.387140470, 10.387181016, 40.546
298, 10.397140551, 10.397195887, 55.336
299, 10.407140512, 10.407188526, 48.014
300, 10.417140488, 10.417200318, 59.830
301, 10.427140468, 10.427204753, 64.285
302, 10.437140494, 10.437201838, 61.344
303, 10.447140467, 10.447183939, 43.472
304, 10.457140470, 10.457188667, 48.197
305, 10.467140492, 10.467195167, 54.675
306, 10.477141272, 10.477251781, 110.509
307, 10.487140606, 10.487213047, 72.441
308, 10.497140465, 10.497180337, 39.872
309, 10.507140470, 10.507182671, 42.201
310, 10.517140476, 10.517188582, 48.106
311, 10.527140475, 10.527190427, 49.952
312, 10.537140470, 10.537187535, 47.065
313, 10.547140465, 10.547184447, 43.982
314, 10.557140468, 10.557189089, 48.621
315, 10.567140469, 10.567210978, 70.509
316, 10.577140462, 10.577190424, 49.962
317, 10.587140460, 10.587223904, 83.444
318, 10.597140467, 10.597218860, 78.393
