------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=120 --full-rtt
------------------------------
sockperf: [Total Run] RunTime=120.000 sec; Warm up time=400 msec; SentMessages=12002; ReceivedMessages=12001
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=119.540 sec; SentMessages=11955; ReceivedMessages=11955
sockperf: [2;35m====> avg-rtt=56.053 (std-dev=81.477, mean-ad=15.600, median-ad=10.775, siqr=8.570, cv=1.454, std-error=0.745, 99.0% ci=[54.134, 57.972])[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 11955 observations[0m; each percentile contains 119.55 observations
sockperf: ---> <MAX> observation = 6822.542
sockperf: ---> percentile 99.999 = 6822.542
sockperf: ---> percentile 99.990 = 2870.027
sockperf: ---> percentile 99.900 =  512.987
sockperf: ---> percentile 99.000 =  127.601
sockperf: ---> percentile 90.000 =   75.543
sockperf: ---> percentile 75.000 =   59.294
sockperf: ---> percentile 50.000 =   48.161
sockperf: ---> percentile 25.000 =   42.153
sockperf: ---> <MIN> observation =   32.717
------------------------------
packet, txTime(sec), rxTime(sec), rtt(usec)
347, 10.893339402, 10.893411606, 72.204
348, 10.903339328, 10.903398251, 58.923
349, 10.913339329, 10.913384089, 44.760
350, 10.923339375, 10.923399786, 60.411
351, 10.933339454, 10.933397722, 58.268
352, 10.943339619, 10.943395148, 55.529
353, 10.953339321, 10.953388387, 49.066
354, 10.963339392, 10.963388635, 49.243
355, 10.973339721, 10.973407371, 67.650
356, 10.983339334, 10.983399018, 59.684
357, 10.993339344, 10.993382130, 42.786
358, 11.003339347, 11.003378988, 39.641
359, 11.013339862, 11.013414941, 75.079
360, 11.023339318, 11.023389447, 50.129
361, 11.033339315, 11.033383898, 44.583
362, 11.043339323, 11.043382244, 42.921
363, 11.053339325, 11.053512910, 173.585
364, 11.063339339, 11.063396020, 56.681
365, 11.073339329, 11.073392481, 53.152
366, 11.083339322, 11.083378548, 39.226
367, 11.093339323, 11.093377109, 37.786
368, 11.103339323, 11.103413417, 74.094
369, 11.113339356, 11.113424765, 85.409
370, 11.123339566, 11.123409271, 69.705
371, 11.133339326, 11.133395022, 55.696
372, 11.143339324, 11.143384990, 45.666
373, 11.153339327, 11.153379039, 39.712
374, 11.163339329, 11.163376653, 37.324
375, 11.173339369, 11.173386864, 47.495
376, 11.183339324, 11.183379415, 40.091
377, 11.193339326, 11.193387047, 47.721
378, 11.203339328, 11.203377381, 38.053
379, 11.213339325, 11.213406119, 66.794
380, 11.223339444, 11.223410264, 70.820
381, 11.233339621, 11.233406646, 67.025
382, 11.243339327, 11.243396389, 57.062
383, 11.253339424, 11.253422655, 83.231
384, 11.263339371, 11.263403477, 64.106
385, 11.273339345, 11.273526494, 187.149
386, 11.283339720, 11.283407102, 67.382
387, 11.293339658, 11.294457161, 1117.503
388, 11.303339416, 11.303395160, 55.744
389, 11.313339323, 11.313375115, 35.792
390, 11.323339429, 11.323407133, 67.704
391, 11.333339459, 11.333400019, 60.560
392, 11.343339620, 11.343616203, 276.583
393, 11.353339555, 11.353402645, 63.090
394, 11.363339374, 11.363377339, 37.965
395, 11.373339529, 11.373404569, 65.040
396, 11.383339454, 11.383404491, 65.037
397, 11.393339559, 11.393411301, 71.742
398, 11.403339435, 11.403411702, 72.267
399, 11.413339587, 11.413413386, 73.799
400, 11.423339727, 11.423431063, 91.336
401, 11.433339598, 11.433414823, 75.225
402, 11.443339326, 11.443386122, 46.796
403, 11.453339328, 11.453378613, 39.285
404, 11.463339321, 11.463376236, 36.915
405, 11.473339327, 11.473387889, 48.562
406, 11.483339358, 11.483439645, 100.287
407, 11.493339450, 11.493423085, 83.635
408, 11.503339452, 11.503412440, 72.988
409, 11.513339338, 11.513405029, 65.691
410, 11.523339530, 11.523424093, 84.563
411, 11.533339657, 11.533707470, 367.813
412, 11.543339656, 11.543415232, 75.576
413, 11.553339325, 11.553382084, 42.759
414, 11.563339324, 11.563378307, 38.983
415, 11.573339372, 11.573386590, 47.218
416, 11.583339323, 11.583378191, 38.868
417, 11.593339354, 11.593400479, 61.125
418, 11.603339478, 11.603392957, 53.479
419, 11.613339344, 11.613394387, 55.043
420, 11.623339329, 11.623395477, 56.148
421, 11.633339321, 11.633381413, 42.092
422, 11.643339321, 11.643379649, 40.328
423, 11.653339324, 11.653376496, 37.172
424, 11.663339321, 11.663376058, 36.737
425, 11.673339322, 11.673388607, 49.285
426, 11.683339325, 11.683377163, 37.838
427, 11.693339326, 11.693375807, 36.481
428, 11.703339321, 11.703382099, 42.778
429, 11.713339326, 11.713380748, 41.422
430, 11.723339321, 11.723381577, 42.256
431, 11.733339326, 11.733378550, 39.224
432, 11.743339416, 11.743400197, 60.781
433, 11.753339332, 11.753382703, 43.371
434, 11.763339393, 11.763403693, 64.300
435, 11.773339371, 11.773396821, 57.450
436, 11.783339329, 11.783386674, 47.345
437, 11.793339326, 11.793377328, 38.002
438, 11.803339326, 11.803380739, 41.413
439, 11.813339326, 11.813382185, 42.859
440, 11.823339324, 11.823383147, 43.823
441, 11.833339325, 11.833384411, 45.086
442, 11.843339347, 11.843390423, 51.076
443, 11.853339318, 11.853378819, 39.501
444, 11.863339327, 11.863379522, 40.195
445, 11.873339344, 11.873395489, 56.145
446, 11.883339322, 11.883386617, 47.295
447, 11.893339345, 11.893390293, 50.948
448, 11.903339344, 11.903393579, 54.235
449, 11.913339323, 11.913384871, 45.548
450, 11.923339340, 11.923393084, 53.744
451, 11.933339321, 11.933391337, 52.016
452, 11.943339321, 11.943380807, 41.486
453, 11.953339352, 11.953391102, 51.750
454, 11.963339322, 11.963378725, 39.403
455, 11.973339328, 11.973393827, 54.499
456, 11.983339323, 11.983406503, 67.180
457, 11.993339324, 11.993387522, 48.198
458, 12.003339329, 12.003380115, 40.786
459, 12.013339326, 12.013382050, 42.724
460, 12.023339327, 12.023377929, 38.602
461, 12.033339316, 12.033393455, 54.139
462, 12.043339554, 12.043433078, 93.524
463, 12.053339420, 12.053409284, 69.864
464, 12.063339327, 12.063395075, 55.748
465, 12.073339873, 12.073415313, 75.440
466, 12.083339326, 12.083381171, 41.845
467, 12.093339322, 12.093388334, 49.012
468, 12.103339354, 12.103384561, 45.207
469, 12.113339322, 12.113381329, 42.007
470, 12.123339372, 12.123380166, 40.794
471, 12.133339347, 12.133382275, 42.928
472, 12.143339393, 12.143404334, 64.941
473, 12.153339324, 12.153385990, 46.666
474, 12.163339342, 12.163381733, 42.391
475, 12.173339349, 12.173390745, 51.396
476, 12.183339324, 12.183389776, 50.452
477, 12.193339867, 12.193399117, 59.250
478, 12.203339323, 12.203381815, 42.492
479, 12.213339318, 12.213379596, 40.278
480, 12.223339322, 12.223383304, 43.982
481, 12.233339326, 12.233387127, 47.801
482, 12.243339335, 12.243397901, 58.566
483, 12.253339444, 12.253453813, 114.369
484, 12.263339427, 12.263437905, 98.478
485, 12.273339593, 12.273428504, 88.911
486, 12.283339367, 12.283426012, 86.645
487, 12.293339420, 12.293419229, 79.809
488, 12.303339595, 12.303438238, 98.643
489, 12.313339628, 12.313421450, 81.822
490, 12.323339642, 12.323427169, 87.527
491, 12.333339461, 12.333424909, 85.448
492, 12.343339591, 12.343414123, 74.532
493, 12.353339655, 12.353408064, 68.409
494, 12.363339696, 12.363429033, 89.337
